gene_alias,canonical_gene,source,curation_note
ALK,ALK,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
ALK1,ALK,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
CD246,ALK,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
BRAF,BRAF,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
BRAF-1,BRAF,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
BRAF1,BRAF,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
EGFR,EGFR,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
ERBB,EGFR,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
ERBB1,EGFR,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
ERRP,EGFR,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
CD340,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
ERBB2,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
HER-2,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
HER2,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
MLN-19,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
NEU,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
NGL,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
c-ERB-2,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
c-ERB2,ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
p185(erbB2),ERBB2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
K-Ras4B,KRAS,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
KRAS,KRAS,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
KRAS1,KRAS,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
KRAS2,KRAS,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
DFNB97,MET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
HGFR,MET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
MET,MET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
RCCP2,MET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
MTC,NTRK1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
NTRK1,NTRK1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
TRK,NTRK1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
TRKA,NTRK1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
NTRK2,NTRK2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
TRKB,NTRK2,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
NTRK3,NTRK3,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
TRKC,NTRK3,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
PI3K,PIK3CA,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
PIK3CA,PIK3CA,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
CDHF12,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
CDHR16,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
HSCR1,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
MEN2A,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
MEN2B,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
MTC1,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
PTC,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
RET,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
RET51,RET,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
MCF3,ROS1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
ROS,ROS1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
ROS1,ROS1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
c-ros-1,ROS1,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
LFS1,TP53,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
TP53,TP53,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
p53,TP53,HGNC-derived,Retrieved from HGNC approved/alias/previous symbol fields.
